Temp_Treatment,pH_Treatment,Mean_Temp_C
12,Ambient,12.679144149577805
12,Low,12.3153351117039
14,Ambient,13.962098326359833
14,Low,13.96159267822736
16,Ambient,16.045507558578986
16,Low,16.644281385281385
18,Ambient,18.01425941422594
18,Low,18.401466840052016
20,Ambient,20.799386730424384
20,Low,20.398916693784575
22,Ambient,21.951968270944743
22,Low,23.74645726240287
24,Ambient,25.3532432755529
24,Low,23.76740765092648
26,Ambient,25.706072922893004
26,Low,25.85310232417748
