Date,Tank_ID,pH_Treatment,Temp_Treatment,Temp_C,pH,mV,DO_mgL,DO_Percent,Conductivity,Salinity,TA,K1,K2,pCO2,pCO2insitu,HCO3,CO3,DIC,OmegaAragonite,OmegaCalcite
2022-08-16,TNK_2,Low,14,14.158,7.790570768357563,-76.6,13.45,130.7,50.4,33,2295.85838883838,NA,NA,786.265330833372,786.2653399524618,2079.621393380145,87.66438670432044,2197.7996753704883,1.352645933780695,2.118681314045067
2022-08-16,TNK_3,Low,16,17.266,7.906531987917979,-84.5,9.14,116,49.8,32.7,2257.31550880304,NA,NA,580.2038612763133,580.2038659285416,1960.3886968711433,120.61557321199797,2101.564103837547,1.8807864265745127,2.9278791939626023
2022-08-16,TNK_4,Low,18,20.916,7.6943895052310545,-73.6,6.66,90.4,50,32.8,2365.70703174326,NA,NA,1056.4888365800718,1056.48885087337,2139.9389850636685,92.8854456297172,2266.5880591979126,1.4674266137540324,2.263244088020502
2022-08-16,TNK_5,Low,20,21.848,7.620337798731322,-69.6,8.21,94.9,50.1,32.9,2303.44318752073,NA,NA,1240.9544637268964,1240.954483067969,2108.0214970691,80.07667509318578,2226.7482771938594,1.2693768438850863,1.9524499866918739
2022-08-16,TNK_6,Low,22,21.93,7.756469735106542,-77.6,8.37,96,50.1,32.9,2292.59194101709,NA,NA,875.4531069098118,875.4531165187208,2033.5937864358598,106.01015449130833,2166.8106823415847,1.6810626519570029,2.5850958003381534
2022-08-16,TNK_7,Low,24,24.001,7.681347242620784,-74,6.47,92.9,49.9,32.7,2296.17185028237,NA,NA,1068.4531131873225,1068.4531269008182,2059.9537905353127,97.00576301450046,2188.4489400843263,1.5542523284310283,2.377459722590551
2022-08-16,TNK_8,Low,26,31.07,7.705932991983612,-78.2,5.32,85.2,50.5,33,2254.7740922840394,NA,NA,992.4352887555616,992.4352989825063,1947.5383874350214,126.25468117433738,2098.4219823325034,2.0989474821439,3.137548397083866
2022-08-16,TNK_9,Low,12,18.17,7.440628439332909,-58,8.33,107.2,49,32.2,2280.98087955248,NA,NA,1889.6836745327794,1889.6837229784212,2166.8789299573914,46.59514162659183,2278.9185690775334,0.7303701454119261,1.1359640276113687
2022-08-16,TNK_10,Ambient,14,13.915,8.114720965972237,-95,8.9,106,50.1,32.8,2284.82225005071,NA,NA,336.39838802618715,336.39838970410705,1878.6931083783713,164.67357566610067,2056.5364400320914,2.541252558224307,3.9842319452576382
2022-08-16,TNK_11,Ambient,16,17.456,7.801145150231276,-78.5,7.8,99.5,49.8,32.7,2271.72047974074,NA,NA,766.4761951203466,766.476203207166,2029.2060375723947,98.65625959780654,2154.873501357215,1.5393491985346817,2.3952888268004275
2022-08-16,TNK_12,Ambient,18,19.02,7.827412475365114,-80.6,7.57,99.4,50.1,32.9,2284.8450524773198,NA,NA,722.5591188832046,722.5591258377294,2012.9763475949694,110.84069545125112,2148.13788522043,1.7374729029542155,2.692119884904383
2022-08-16,TNK_13,Ambient,20,22.235,7.974554168237956,-90.5,8.81,101.8,50.1,32.9,2248.3935472723397,NA,NA,483.5723427246614,483.57234563777797,1852.5095156151556,161.3744278510529,2028.7905251098882,2.562367848826005,3.937067390727424
2022-08-16,TNK_14,Ambient,22,25.046,7.879556383289591,-86.1,6.15,90.7,50.2,32.9,2294.0192836439,NA,NA,637.390224460846,637.3902292358348,1929.07942233026,149.73521554587586,2097.0841657350375,2.408718467506967,3.6714392449185578
2022-08-16,TNK_15,Ambient,24,29.954,7.826338084700722,-85,7.03,98.5,50.4,32.9,2257.36331189182,NA,NA,722.5659823849486,722.5659879318433,1881.5300470864704,154.27337610724865,2054.2062677262006,2.5489632781584532,3.8256264747725903
2022-08-16,TNK_16,Ambient,26,31.952,7.94807747456489,-93.2,5.46,80.6,50.9,33.2,2280.20319399051,NA,NA,519.3489789004874,519.348981650293,1772.9655775764047,208.1688821325774,1993.7575145822884,3.475556213371478,5.176819008486735
2022-08-16,TNK_18,Ambient,12,15.205,7.917769260736715,-84.3,11.8,112.9,50.2,32.8,2272.10671598968,NA,NA,564.5497862964268,564.5497908955311,1985.5739021989718,116.19848058842794,2123.02209800665,1.7995818817371603,2.813788105174871
2022-08-16,TNK_SMP,Sump,10,10.199,8.07885130792938,-91.3,11.22,123,50.9,33.2,2214.9843757131393,NA,NA,356.1441949533666,356.1441969877508,1883.0880506869535,132.8534873183871,2031.595425817839,2.0302507650757753,3.202541241574088
2022-08-17,TNK_2,Low,14,14.186,7.687999490398181,-70.9,10.4,124,49.05,32,2295.85838883838,NA,NA,1021.8771231388375,1021.8771385409242,2126.064998298319,69.09031180779003,2235.030062581923,1.070155898927437,1.680157633439826
2022-08-17,TNK_3,Low,16,14.612,7.687265047781525,-70.9,9.9,118.6,50,32.8,2257.31550880304,NA,NA,1003.3515012304982,1003.3515159406212,2084.0118909729117,70.12040246118045,2192.58292097729,1.0841414835912286,1.697284163148066
2022-08-17,TNK_4,Low,18,18.074,7.7314981702209575,-74.7,8.57,110.9,50,32.8,2365.70703174326,NA,NA,954.0333668965891,954.0333792638469,2143.5448865747744,91.09989313576797,2267.651838092669,1.4238425661079648,2.211784326624338
2022-08-17,TNK_5,Low,20,19.308,7.72573448933789,-74.8,8.23,108,50.2,33,2303.44318752073,NA,NA,944.3938723893809,944.3938841980215,2078.682298285075,91.78180260498256,2201.975950231971,1.4395844624495584,2.2284374021324482
