Date ,Tank_Number,Temp_C,DO_mgL,DO_Percent,Conductivity,Salinity,YSI_Temp,mV
8/20/2022,TNK_11,15.797,8.6,105.9,50.4,33.1,15.8,-90.8
8/20/2022,TNK_12,17.625,8.1,103.9,50.6,33.2,17.8,91.7
8/20/2022,TNK_13,18.589,8.2,106.9,50.2,33,18.7,-88.7
8/20/2022,TNK_14,20.356,7.52,101.6,50.3,33.1,20.6,-89.1
8/20/2022,TNK_15,24.052,7.11,102.5,50.8,33.2,24.1,-92
8/20/2022,TNK_16,25.816,6.6,98.5,50.8,33.3,25.4,-96.3
8/20/2022,TNK_18,13.967,9.35,111.6,50.9,33.3,14.1,-93.6
8/20/2022,TNK_SMP,10.982,10.1,113.2,50.6,33,11.1,-90
8/21/2022,TNK_2,12.589,10.2,121.2,50.3,32.9,13.9,-75.5
8/21/2022,TNK_3,13.732,8.71,104,50.1,32.6,14.4,-75.2
8/21/2022,TNK_4,15.831,8.19,101.7,50.7,33.3,16.4,-76.9
8/21/2022,TNK_5,11.777,9.41,107.4,50.9,33.2,12.1,-73.1
8/21/2022,TNK_6,17.357,7.77,99.3,50.6,33.3,17.5,-78.9
8/21/2022,TNK_7,22.056,7.45,102.5,50.1,32.8,22.1,-80
8/21/2022,TNK_8,20.618,7.66,103.8,50.4,33.1,20.8,-81.4
8/21/2022,TNK_9,12.4,12.57,118.2,51.1,33.3,12.6,-76.7
8/21/2022,TNK_10,14.315,9.09,109.2,51,33.5,14.4,-87.4
8/21/2022,TNK_11,16.282,8.85,108.6,50.3,33.2,16.5,-87.3
8/21/2022,TNK_12,20.719,8.52,94.8,50.4,33,20.9,-87.4
8/21/2022,TNK_13,23.512,6.97,99.5,50.5,33.1,23.7,-86.8
8/21/2022,TNK_14,21.843,7.27,100.9,50.5,33.2,22,-74
8/21/2022,TNK_15,29.71,7.65,101.4,50.6,33.4,30,-85.5
8/21/2022,TNK_16,21.842,7.9,108.9,50.7,33.3,22,-86.1
8/21/2022,TNK_18,12,10.61,124.2,51.4,33.7,12.8,-81.8
8/21/2022,TNK_SMP,10.699,9.73,109,51.3,33.5,10.6,-89.4
8/22/2022,TNK_2,12.091,9.52,109.2,51,33.4,12.2,-64.4
8/22/2022,TNK_3,13.188,8.83,104,51.2,33.6,13.4,-68.2
8/22/2022,TNK_4,18.202,7.09,92.2,51.2,33.1,18.3,-66.7
8/22/2022,TNK_5,16.925,8.76,11.4,50.9,33.5,11.2,-70.2
8/22/2022,TNK_6,21.527,7.06,97.7,51,33.6,21.7,-69.5
8/22/2022,TNK_7,20.129,7.83,104.6,50.6,33.3,19.7,-70.6
8/22/2022,TNK_8,22.947,6.84,96.7,57,33.5,22.9,-68.6
8/22/2022,TNK_9,11.693,10.6,121,50,33.4,12.2,-60.6
8/22/2022,TNK_10,13.923,9.27,111,51.1,33.5,14.1,-79.1
8/22/2022,TNK_11,15.674,8.78,108.8,57,33.5,15.8,-82.2
8/22/2022,TNK_12,16.722,8.51,107.8,51,33.6,16.9,-79.7
8/22/2022,TNK_13,18.511,8.41,109.6,50.9,33.5,18.7,-81.1
8/22/2022,TNK_14,19.282,7.79,102.6,51.1,33.6,19.2,-78.7
8/22/2022,TNK_15,21.274,7.67,105.2,51,33.5,21.4,-82.8
8/22/2022,TNK_16,21.607,7.8,101,51.1,33.6,21.8,-82.4
8/22/2022,TNK_18,12.013,10.68,122.6,52.6,34.5,12.2,-80.2
8/22/2022,TNK_SMP,10.622,10.66,120.8,51.2,33.5,11.2,-82.9
8/23/2022,TNK_2,13.927,10.65,126.6,51,33.5,14.1,-68.4
