Tank_ID,Temp_Treatment,pH_Treament
TNK_2,14,Low
TNK_3,16,Low
TNK_4,18,Low
TNK_5,20,Low
TNK_6,22,Low
TNK_7,24,Low
TNK_8,26,Low
TNK_9,12,Low
TNK_10,14,Ambient
TNK_11,16,Ambient
TNK_12,18,Ambient
TNK_13,20,Ambient
TNK_14,22,Ambient
TNK_15,24,Ambient
TNK_16,26,Ambient
TNK_18,12,Ambient
TNK_SMP,10,NA
TNK_AIR,24,NA
