"Temperature Treatment","Ambient Energy Expenditure (J g^−1 h^−1)","Low Energy Expenditure (J g^−1 h^−1)","Percent Difference"
"12",5.59196959600233,4.75159537637948,"17.6861486102206%"
"14",8.52462836241031,10.0250754386449,"-14.9669405025184%"
"16",6.87909017529427,11.0569737228055,"-37.7850545026993%"
"18",17.1606904624743,11.3645669242382,"51.0017106404131%"
"20",15.5816201783801,21.6499390662258,"-28.029265437113%"
"22",12.3005427529807,23.8249461721334,"-48.3711624609338%"
"24",14.7527898631299,31.0405272616344,"-52.4724894690686%"
"26",13.6289045774159,8.97166051373077,"51.910614055864%"
