"Temperature Treatment","Ambient Energy Expenditure (J/h)","Low Energy Expenditure (J/h)","Percent Difference"
"12",20.6836338901238,23.0546555437963,"-10.2843508078806%"
"14",33.8256587345482,36.8800762298629,"-8.28202598139254%"
"16",33.4174414099634,41.5285716085232,"-19.5314451819361%"
"18",68.0233527753633,56.8942367129068,"19.5610604965402%"
"20",69.0327792535226,72.1337734156787,"-4.29894904330908%"
"22",58.8506030058675,94.3176664682382,"-37.603839016007%"
"24",85.5162609270562,107.242877041192,"-20.2592626322314%"
"26",53.8247872397593,57.0321820338802,"-5.6238332108976%"
