V1,V2,V3
-119.2,34.2,11.8681888580322
-119.18313253012,34.2,14.6081886291504
-119.166265060241,34.2,15.9781885147095
-119.149397590361,34.2,15.6181888580322
-119.132530120482,34.2,14.0781888961792
-119.115662650602,34.2,12.6581888198853
-119.098795180723,34.2,13.3681888580322
-119.081927710843,34.2,14.5281887054443
-119.065060240964,34.2,18.9306812286377
-119.048192771084,34.2,25.0406799316406
-119.031325301205,34.2,36.6606788635254
-119.014457831325,34.2,52.3206787109375
-118.997590361446,34.2,217.660675048828
-118.980722891566,34.2,289.360687255859
-118.963855421687,34.2,252.52067565918
-118.946987951807,34.2,229.090682983398
-118.930120481928,34.2,205.478942871094
-118.913253012048,34.2,194.948944091797
-118.896385542169,34.2,222.938949584961
-118.879518072289,34.2,244.458938598633
-118.86265060241,34.2,254.298950195312
-118.84578313253,34.2,319.208953857422
-118.828915662651,34.2,393.088958740234
-118.812048192771,34.2,409.788940429688
-118.795180722892,34.2,409.710235595703
-118.778313253012,34.2,407.040252685547
-118.761445783133,34.2,447.310241699219
-118.744578313253,34.2,435.210235595703
-118.727710843374,34.2,466.340240478516
-118.710843373494,34.2,392.500244140625
-118.693975903614,34.2,431.040252685547
-118.677108433735,34.2,397.650238037109
-118.660240963855,34.2,305.673980712891
-118.643373493976,34.2,263.393981933594
-118.626506024096,34.2,252.483963012695
-118.609638554217,34.2,246.903961181641
-118.592771084337,34.2,242.033966064453
-118.575903614458,34.2,235.273971557617
-118.559036144578,34.2,228.683975219727
-118.542168674699,34.2,224.973968505859
-118.525301204819,34.2,222.843185424805
-118.50843373494,34.2,223.293182373047
-118.49156626506,34.2,224.003173828125
-118.474698795181,34.2,224.01318359375
-118.457831325301,34.2,222.523178100586
-118.440963855422,34.2,220.733184814453
-118.424096385542,34.2,217.913177490234
-118.407228915663,34.2,218.443176269531
-118.390361445783,34.2,216.908264160156
-118.373493975904,34.2,214.158264160156
-118.356626506024,34.2,209.518264770508
-118.339759036145,34.2,199.518264770508
-118.322891566265,34.2,191.80827331543
-118.306024096386,34.2,234.198272705078
-118.289156626506,34.2,309.378265380859
-118.272289156626,34.2,454.288269042969
-118.255421686747,34.2,630.024169921875
-118.238554216867,34.2,446.624206542969
-118.221686746988,34.2,341.194183349609
-118.204819277108,34.2,453.514190673828
-118.187951807229,34.2,374.044189453125
-118.171084337349,34.2,337.154205322266
-118.15421686747,34.2,363.384185791016
-118.13734939759,34.2,405.334197998047
-118.120481927711,34.2,437.373413085938
-118.103614457831,34.2,455.663421630859
-118.086746987952,34.2,649.4833984375
-118.069879518072,34.2,866.903442382812
-118.053012048193,34.2,984.9833984375
-118.036144578313,34.2,911.913391113281
-118.019277108434,34.2,707.973388671875
-118.002409638554,34.2,831.5234375
-117.985542168675,34.2,900.831481933594
-117.968674698795,34.2,929.281494140625
-117.951807228916,34.2,901.541442871094
-117.934939759036,34.2,839.191467285156
-117.918072289157,34.2,685.551452636719
-117.901204819277,34.2,587.761474609375
-117.884337349398,34.2,727.171447753906
-117.867469879518,34.2,558.671447753906
-117.850602409639,34.2,456.026092529297
-117.833734939759,34.2,775.276062011719
-117.81686746988,34.2,855.536071777344
-117.8,34.2,822.006103515625
-119.2,34.1830508474576,8.30818843841553
-119.18313253012,34.1830508474576,10.1681890487671
-119.166265060241,34.1830508474576,12.0181884765625
-119.149397590361,34.1830508474576,12.1281890869141
-119.132530120482,34.1830508474576,10.5681886672974
-119.115662650602,34.1830508474576,9.38818836212158
-119.098795180723,34.1830508474576,8.45818901062012
-119.081927710843,34.1830508474576,9.38818836212158
-119.065060240964,34.1830508474576,13.2306804656982
-119.048192771084,34.1830508474576,28.5306797027588
-119.031325301205,34.1830508474576,86.3506774902344
-119.014457831325,34.1830508474576,206.02067565918
-118.997590361446,34.1830508474576,256.320678710938
-118.980722891566,34.1830508474576,281.280670166016
-118.963855421687,34.1830508474576,231.250686645508
-118.946987951807,34.1830508474576,228.920684814453
-118.930120481928,34.1830508474576,246.788940429688
-118.913253012048,34.1830508474576,257.328948974609
-118.896385542169,34.1830508474576,251.958938598633
-118.879518072289,34.1830508474576,247.848937988281
-118.86265060241,34.1830508474576,269.108947753906
-118.84578313253,34.1830508474576,284.498931884766
