time,sea_water_temperature,sea_water_temperature_qc_agg,z
UTC,degree_Celsius,,m
2022-07-26T07:01:00Z,21.2301,1,0.0
2022-07-26T07:05:00Z,21.2258,1,0.0
2022-07-26T07:09:00Z,21.2112,1,0.0
2022-07-26T07:13:00Z,21.191,1,0.0
2022-07-26T07:17:00Z,21.2055,1,0.0
2022-07-26T07:21:00Z,21.2151,1,0.0
2022-07-26T07:25:00Z,21.2104,1,0.0
2022-07-26T07:29:00Z,21.2097,1,0.0
2022-07-26T07:33:00Z,21.1945,1,0.0
2022-07-26T07:37:00Z,21.2024,1,0.0
2022-07-26T07:41:00Z,21.2148,1,0.0
2022-07-26T07:45:00Z,21.1985,1,0.0
2022-07-26T07:49:00Z,21.2247,1,0.0
2022-07-26T07:53:00Z,21.2094,1,0.0
2022-07-26T07:57:00Z,21.2224,1,0.0
2022-07-26T08:01:00Z,21.2183,1,0.0
2022-07-26T08:05:00Z,21.2192,1,0.0
2022-07-26T08:09:00Z,21.2162,1,0.0
2022-07-26T08:13:00Z,21.2165,1,0.0
2022-07-26T08:17:00Z,21.218,1,0.0
2022-07-26T08:21:00Z,21.2226,1,0.0
2022-07-26T08:25:00Z,21.2134,1,0.0
2022-07-26T08:29:00Z,21.2163,1,0.0
2022-07-26T08:33:00Z,21.2135,1,0.0
2022-07-26T08:37:00Z,21.2102,1,0.0
2022-07-26T08:41:00Z,21.2034,1,0.0
2022-07-26T08:45:00Z,21.1618,1,0.0
2022-07-26T08:49:00Z,21.1623,1,0.0
2022-07-26T08:53:00Z,21.1547,1,0.0
2022-07-26T08:57:00Z,21.169,1,0.0
2022-07-26T09:01:00Z,21.1677,1,0.0
2022-07-26T09:05:00Z,21.1618,1,0.0
2022-07-26T09:09:00Z,21.1471,1,0.0
2022-07-26T09:13:00Z,21.1345,1,0.0
2022-07-26T09:17:00Z,21.1044,1,0.0
2022-07-26T09:21:00Z,21.0993,1,0.0
2022-07-26T09:25:00Z,21.0715,1,0.0
2022-07-26T09:29:00Z,21.0998,1,0.0
2022-07-26T09:33:00Z,21.0649,1,0.0
2022-07-26T09:37:00Z,21.0862,1,0.0
2022-07-26T09:41:00Z,21.0388,1,0.0
2022-07-26T09:45:00Z,21.0573,1,0.0
2022-07-26T09:49:00Z,21.0138,1,0.0
2022-07-26T09:53:00Z,21.0073,1,0.0
2022-07-26T09:57:00Z,21.0644,1,0.0
2022-07-26T10:01:00Z,21.0261,1,0.0
2022-07-26T10:05:00Z,21.0093,1,0.0
2022-07-26T10:09:00Z,21.0279,1,0.0
2022-07-26T10:13:00Z,20.9759,1,0.0
2022-07-26T10:17:00Z,20.9718,1,0.0
2022-07-26T10:21:00Z,20.9849,1,0.0
2022-07-26T10:25:00Z,20.9597,1,0.0
2022-07-26T10:29:00Z,20.9215,1,0.0
2022-07-26T10:33:00Z,20.909,1,0.0
2022-07-26T10:37:00Z,20.8699,1,0.0
2022-07-26T10:41:00Z,20.8348,1,0.0
2022-07-26T10:45:00Z,20.7879,1,0.0
2022-07-26T10:49:00Z,20.7353,1,0.0
2022-07-26T10:53:00Z,20.7118,1,0.0
2022-07-26T10:57:00Z,20.7422,1,0.0
2022-07-26T11:01:00Z,20.7406,1,0.0
2022-07-26T11:05:00Z,20.6935,1,0.0
2022-07-26T11:09:00Z,20.6268,1,0.0
2022-07-26T11:13:00Z,20.6042,1,0.0
2022-07-26T11:17:00Z,20.632,1,0.0
2022-07-26T11:21:00Z,20.663,1,0.0
2022-07-26T11:25:00Z,20.7218,1,0.0
2022-07-26T11:29:00Z,20.7646,1,0.0
2022-07-26T11:33:00Z,20.82,1,0.0
2022-07-26T11:37:00Z,20.8311,1,0.0
2022-07-26T11:41:00Z,20.8632,1,0.0
2022-07-26T11:45:00Z,20.8666,1,0.0
2022-07-26T11:49:00Z,20.8376,1,0.0
2022-07-26T11:53:00Z,20.8494,1,0.0
2022-07-26T11:57:00Z,20.763,1,0.0
2022-07-26T12:01:00Z,20.7656,1,0.0
2022-07-26T12:05:00Z,20.7682,1,0.0
2022-07-26T12:09:00Z,20.7561,1,0.0
2022-07-26T12:13:00Z,20.7076,1,0.0
2022-07-26T12:17:00Z,20.6911,1,0.0
2022-07-26T12:21:00Z,20.6731,1,0.0
2022-07-26T12:25:00Z,20.6608,1,0.0
2022-07-26T12:29:00Z,20.6813,1,0.0
2022-07-26T12:33:00Z,20.696,1,0.0
