Start date,End date,Mean,Min,Max
2022-03-28T00:00:00Z,2022-04-04T00:00:00Z,8.083707145692747,7.9876,8.2395
2022-04-04T00:00:00Z,2022-04-11T00:00:00Z,8.06444604688122,7.9168,8.1581
2022-04-11T00:00:00Z,2022-04-18T00:00:00Z,8.088241849342369,7.905,8.3802
2022-04-18T00:00:00Z,2022-04-25T00:00:00Z,8.059473705179284,7.7994,8.3946
2022-04-25T00:00:00Z,2022-05-02T00:00:00Z,8.15390111376293,7.8038,8.3322
2022-05-02T00:00:00Z,2022-05-09T00:00:00Z,8.157833669064741,8.1139,8.2298
2022-05-09T00:00:00Z,2022-05-16T00:00:00Z,,,
2022-05-16T00:00:00Z,2022-05-23T00:00:00Z,,,
2022-05-23T00:00:00Z,2022-05-30T00:00:00Z,,,
2022-05-30T00:00:00Z,2022-06-06T00:00:00Z,,,
2022-06-06T00:00:00Z,2022-06-13T00:00:00Z,7.996952499999999,7.9764,8.0102
2022-06-13T00:00:00Z,2022-06-20T00:00:00Z,,,
2022-06-20T00:00:00Z,2022-06-27T00:00:00Z,7.994944838921765,7.9067,8.0594
2022-06-27T00:00:00Z,2022-07-04T00:00:00Z,8.032409101748804,7.9769,8.0721
2022-07-04T00:00:00Z,2022-07-11T00:00:00Z,8.052210595238098,7.9904,8.2734
2022-07-11T00:00:00Z,2022-07-18T00:00:00Z,8.02657731629391,7.9548,8.0859
2022-07-18T00:00:00Z,2022-07-25T00:00:00Z,8.034515436507947,7.9813,8.0665
2022-07-25T00:00:00Z,2022-08-01T00:00:00Z,8.029722460317466,7.9653,8.1064
2022-08-01T00:00:00Z,2022-08-08T00:00:00Z,8.051381746031735,7.9417,8.2593
2022-08-08T00:00:00Z,2022-08-15T00:00:00Z,8.008709682539667,7.9299,8.0618
2022-08-15T00:00:00Z,2022-08-22T00:00:00Z,7.971964413518894,7.8178,8.0474
2022-08-22T00:00:00Z,2022-08-29T00:00:00Z,7.982727579365104,7.8968,8.0257
2022-08-29T00:00:00Z,2022-09-05T00:00:00Z,7.958067487098054,7.8681,8.0502
2022-09-05T00:00:00Z,2022-09-12T00:00:00Z,7.989496308058738,7.9293,8.0577
2022-09-12T00:00:00Z,2022-09-19T00:00:00Z,8.013892445328025,7.9723,8.0676
2022-09-19T00:00:00Z,2022-09-26T00:00:00Z,8.02370963759458,7.9591,8.1236
2022-09-26T00:00:00Z,2022-10-03T00:00:00Z,8.067564385196981,7.9374,8.2596
2022-10-03T00:00:00Z,2022-10-10T00:00:00Z,8.03057623015872,7.8351,8.2374
2022-10-10T00:00:00Z,2022-10-17T00:00:00Z,8.022906309523805,7.8492,8.2092
2022-10-17T00:00:00Z,2022-10-24T00:00:00Z,7.987345429252784,7.873,8.1787
2022-10-24T00:00:00Z,2022-10-31T00:00:00Z,7.997653450339063,7.9536,8.0319
2022-10-31T00:00:00Z,2022-11-07T00:00:00Z,7.942091421763294,7.8039,8.0206
2022-11-07T00:00:00Z,2022-11-14T00:00:00Z,8.009351369591103,7.9715,8.2886
2022-11-14T00:00:00Z,2022-11-21T00:00:00Z,8.019595595238087,7.9811,8.0505
2022-11-21T00:00:00Z,2022-11-28T00:00:00Z,7.999286231595685,7.91,8.0353
2022-11-28T00:00:00Z,2022-12-05T00:00:00Z,8.016171861299318,7.9727,8.0441
2022-12-05T00:00:00Z,2022-12-12T00:00:00Z,8.00171321428572,7.9555,8.0467
2022-12-12T00:00:00Z,2022-12-19T00:00:00Z,8.016797140587766,7.953,8.3233
2022-12-19T00:00:00Z,2022-12-26T00:00:00Z,8.081731904761904,8.0156,8.1587
2022-12-26T00:00:00Z,2023-01-02T00:00:00Z,8.03886119610569,7.9899,8.0999
2023-01-02T00:00:00Z,2023-01-09T00:00:00Z,7.996343670382166,7.9263,8.045
2023-01-09T00:00:00Z,2023-01-16T00:00:00Z,7.982656507936532,7.9407,8.0244
2023-01-16T00:00:00Z,2023-01-23T00:00:00Z,8.003692494042896,7.9598,8.0647
2023-01-23T00:00:00Z,2023-01-30T00:00:00Z,7.980767659912587,7.9268,8.048
2023-01-30T00:00:00Z,2023-02-06T00:00:00Z,8.026219849146488,7.9325,8.066
2023-02-06T00:00:00Z,2023-02-13T00:00:00Z,7.981635464654486,7.9398,8.0576
2023-02-13T00:00:00Z,2023-02-20T00:00:00Z,8.021174382470093,7.9171,8.0765
2023-02-20T00:00:00Z,2023-02-27T00:00:00Z,8.00284069075031,7.8455,8.111
2023-02-27T00:00:00Z,2023-03-06T00:00:00Z,7.99432259481037,7.8392,8.1268
2023-03-06T00:00:00Z,2023-03-13T00:00:00Z,8.06020973767884,7.8595,8.4104
2023-03-13T00:00:00Z,2023-03-20T00:00:00Z,8.094181890706013,7.9593,8.1911
2023-03-20T00:00:00Z,2023-03-27T00:00:00Z,8.08178312373226,7.9728,8.191
2023-03-27T00:00:00Z,2023-04-03T00:00:00Z,8.010095647127109,7.8512,8.1392
2023-04-03T00:00:00Z,2023-04-10T00:00:00Z,7.847638248551193,7.6901,8.2714
2023-04-10T00:00:00Z,2023-04-17T00:00:00Z,8.129323951847224,7.8,8.2894
2023-04-17T00:00:00Z,2023-04-24T00:00:00Z,8.179893888888852,7.9629,8.2854
2023-04-24T00:00:00Z,2023-05-01T00:00:00Z,8.248496506550214,7.9281,8.6587
2023-05-01T00:00:00Z,2023-05-08T00:00:00Z,8.154937171314765,7.9968,8.2731
2023-05-08T00:00:00Z,2023-05-15T00:00:00Z,7.983653730158728,7.8325,8.131
2023-05-15T00:00:00Z,2023-05-22T00:00:00Z,8.052146979332258,7.8887,8.4133
2023-05-22T00:00:00Z,2023-05-29T00:00:00Z,8.062474404761927,7.9715,8.1398
2023-05-29T00:00:00Z,2023-06-05T00:00:00Z,8.030890977011484,7.9159,8.3351
2023-06-05T00:00:00Z,2023-06-12T00:00:00Z,8.053613468414763,7.9215,8.1189
2023-06-12T00:00:00Z,2023-06-19T00:00:00Z,8.0421417928287,7.9499,8.0921
2023-06-19T00:00:00Z,2023-06-26T00:00:00Z,8.04480650793654,7.8127,8.0846
2023-06-26T00:00:00Z,2023-07-03T00:00:00Z,8.041752572796156,7.9026,8.093
2023-07-03T00:00:00Z,2023-07-10T00:00:00Z,8.053468745035756,7.831,8.1089
2023-07-10T00:00:00Z,2023-07-17T00:00:00Z,8.032818452380962,7.6002,8.0893
2023-07-17T00:00:00Z,2023-07-24T00:00:00Z,7.97720534077319,7.641,8.2148
2023-07-24T00:00:00Z,2023-07-31T00:00:00Z,8.024895077411669,7.943,8.0848
2023-07-31T00:00:00Z,2023-08-07T00:00:00Z,7.990592458100548,7.8861,8.0294
2023-08-07T00:00:00Z,2023-08-14T00:00:00Z,7.985729297340226,7.8861,8.0964
2023-08-14T00:00:00Z,2023-08-21T00:00:00Z,8.026692421220591,7.7284,8.1529
2023-08-21T00:00:00Z,2023-08-28T00:00:00Z,8.031213968253976,7.9019,8.2913
2023-08-28T00:00:00Z,2023-09-04T00:00:00Z,8.154792023809522,7.9411,8.416
2023-09-04T00:00:00Z,2023-09-11T00:00:00Z,8.234606655433874,8.0473,8.4874
